Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2026	02/28/2026		JPA960710011	JPA960710011	4			EUR		261601063	極東ラヴァーズオーケストラ	Cross Road	Pacific Records		H3		FR				
02/01/2026	02/28/2026		JPA960710011	JPA960710011	1			EUR		261601063	極東ラヴァーズオーケストラ	Cross Road	Pacific Records		H3		DE				
02/01/2026	02/28/2026		JPA961980053	JPA961980053	1			EUR		1492861784	Su凸ko D凹koi	来世に期待	おポンコツレコーズ		H3		IE				
02/01/2026	02/28/2026		JPA960590828	JPA960590828	2			EUR		74432427	Tsuji Ayano	悲しみの風	Living,dining&kitchen Records		H3		FR				
02/01/2026	02/28/2026		ITB061000170	ITB061000170	4			EUR		403460176	Cuban Jazz Combo	Long Train Runnin	Continental Music		H3		FR				
02/01/2026	02/28/2026		JPA960710018	JPA960710018	1			EUR		261603111	極東ラヴァーズオーケストラ	悲しみは雪のように	Pacific Records		H3		DE				
02/01/2026	02/28/2026		JPA960510006	JPA960510006	1			EUR		73378483	Toki Asako	Human Nature	Pacific Records		H3		NL				
02/01/2026	02/28/2026		JPA960800121	JPA960800121	1			EUR		284728587	Youmou to Ohana	やさしい朝の雨	Living Records Tokyo*		H3		DE				
02/01/2026	02/28/2026		JPA960900060	JPA960900060	4			GBP		320968396	LOVERS ROCREW with おはな	ひだまりの詩	Living Records Tokyo*		H3		GB				
02/01/2026	02/28/2026		JPA960590937	JPA960590937	2			GBP		74436115	Toki Asako	Everybody Wants to Rule the World	Living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA961700054	JPA961700054	1			GBP		1286483361	日食なつこ	廊下を走るな	Living,Dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA961200073	JPA961200073	1			GBP		535490976	日食なつこ	跳躍	living,dining&kitchen Records		H3		GB				
02/01/2026	02/28/2026		JPA960510165	JPA960510165	1			GBP		74976896	Straightener	The Wind Died Away Long Long Ago	Pacific Records		H3		GB				
